MediaId,platformId,DateAdded
704,4,01-Jul-21
705,1,16-Jun-21
706,1,16-Jun-21
707,1,16-Jun-21
708,1,16-Jun-21
709,1,16-Jun-21
710,1,16-Jun-21
711,1,16-Jun-21
712,1,16-Jun-21
713,1,16-Jun-21
714,1,15-Jun-21
715,1,15-Jun-21
716,1,15-Jun-21
717,1,15-Jun-21
718,1,15-Jun-21
719,1,15-Jun-21
720,1,15-Jun-21
721,1,15-Jun-21
722,1,15-Jun-21
723,1,15-Jun-21
724,1,15-Jun-21
725,1,15-Jun-21
726,1,14-Jun-21
727,1,13-Jun-21
728,1,13-Jun-21
729,1,13-Jun-21
730,1,12-Jun-21
731,1,12-Jun-21
732,1,12-Jun-21
733,1,12-Jun-21
734,1,11-Jun-21
735,1,11-Jun-21
736,1,11-Jun-21
737,1,11-Jun-21
738,1,11-Jun-21
739,1,11-Jun-21
740,1,11-Jun-21
741,1,10-Jun-21
742,1,10-Jun-21
743,1,10-Jun-21
744,1,10-Jun-21
744,2,January 0, 1900
745,1,10-Jun-21
746,1,10-Jun-21
747,1,09-Jun-21
747,2,January 0, 1900
748,1,09-Jun-21
749,1,09-Jun-21
750,1,09-Jun-21
751,1,09-Jun-21
752,1,08-Jun-21
753,1,07-Jun-21
754,1,06-Jun-21
755,1,05-Jun-21
756,1,05-Jun-21
757,1,05-Jun-21
758,1,04-Jun-21
759,1,04-Jun-21
760,1,04-Jun-21
761,1,04-Jun-21
762,1,04-Jun-21
763,1,04-Jun-21
764,1,04-Jun-21
765,1,04-Jun-21
766,1,04-Jun-21
767,1,03-Jun-21
768,1,03-Jun-21
769,1,03-Jun-21
770,1,03-Jun-21
771,1,03-Jun-21
772,1,03-Jun-21
773,1,03-Jun-21
774,1,03-Jun-21
775,1,02-Jun-21
776,1,02-Jun-21
776,4,15-May-21
777,1,02-Jun-21
778,1,02-Jun-21
779,1,02-Jun-21
779,4,06-Dec-20
780,1,02-Jun-21
781,1,02-Jun-21
782,1,02-Jun-21
783,1,02-Jun-21
783,2,January 0, 1900
784,1,02-Jun-21
785,1,02-Jun-21
785,2,January 0, 1900
786,1,02-Jun-21
786,4,01-Mar-21
787,1,02-Jun-21
788,1,02-Jun-21
789,1,02-Jun-21
789,2,January 0, 1900
790,1,02-Jun-21
790,2,January 0, 1900
791,1,02-Jun-21
792,1,02-Jun-21
793,1,02-Jun-21
794,1,02-Jun-21
794,2,January 0, 1900
795,1,02-Jun-21
796,1,02-Jun-21
796,4,01-Jan-16
797,1,02-Jun-21
798,1,02-Jun-21
799,1,02-Jun-21
800,1,02-Jun-21
801,1,02-Jun-21
801,4,15-May-21
802,1,02-Jun-21
803,1,02-Jun-21
804,1,02-Jun-21
804,4,03-Jun-11
805,1,02-Jun-21
805,2,January 0, 1900
806,1,02-Jun-21
807,1,02-Jun-21
808,1,02-Jun-21
809,1,02-Jun-21
810,1,02-Jun-21
811,1,02-Jun-21
812,1,02-Jun-21
813,1,02-Jun-21
814,1,02-Jun-21
815,1,02-Jun-21
816,1,02-Jun-21
816,2,January 0, 1900
816,4,01-Feb-20
817,1,02-Jun-21
818,1,02-Jun-21
819,1,02-Jun-21
820,1,02-Jun-21
821,1,02-Jun-21
822,1,02-Jun-21
823,1,02-Jun-21
824,1,02-Jun-21
824,4,11-Feb-21
825,1,02-Jun-21
826,1,31-May-21
827,1,30-May-21
828,1,29-May-21
829,1,28-May-21
830,1,28-May-21
831,1,28-May-21
832,1,28-May-21
833,1,28-May-21
833,2,17-Apr-21
834,1,27-May-21
835,1,27-May-21
836,1,27-May-21
836,2,January 0, 1900
837,1,27-May-21
838,1,27-May-21
839,1,27-May-21
840,1,27-May-21
841,1,26-May-21
842,1,26-May-21
843,1,26-May-21
844,1,26-May-21
845,1,26-May-21
846,1,25-May-21
847,1,25-May-21
847,2,January 0, 1900
848,1,24-May-21
849,1,23-May-21
850,1,22-May-21
851,1,21-May-21
852,1,21-May-21
853,1,21-May-21
854,1,21-May-21
855,1,21-May-21
856,1,21-May-21
857,1,21-May-21
858,1,21-May-21
859,1,20-May-21
860,1,20-May-21
861,1,20-May-21
862,1,20-May-21
863,1,20-May-21
864,1,20-May-21
865,1,20-May-21
866,1,19-May-21
867,1,19-May-21
868,1,19-May-21
869,1,19-May-21
870,1,19-May-21
871,1,18-May-21
872,1,18-May-21
873,1,16-May-21
874,1,15-May-21
875,1,15-May-21
876,1,15-May-21
877,1,14-May-21
878,1,14-May-21
879,1,14-May-21
880,1,14-May-21
880,2,January 0, 1900
881,1,14-May-21
882,1,14-May-21
883,1,14-May-21
884,1,14-May-21
885,1,14-May-21
886,1,14-May-21
887,1,14-May-21
888,1,14-May-21
889,1,14-May-21
890,1,14-May-21
890,2,January 0, 1900
891,1,13-May-21
892,1,13-May-21
893,1,13-May-21
894,1,13-May-21
895,1,12-May-21
896,1,12-May-21
897,1,12-May-21
898,1,12-May-21
899,1,11-May-21
900,1,11-May-21
901,1,11-May-21
902,1,10-May-21
903,1,09-May-21
904,1,09-May-21
905,1,08-May-21
906,1,08-May-21
907,1,07-May-21
908,1,07-May-21
909,1,07-May-21
910,1,07-May-21
911,1,07-May-21
911,2,January 0, 1900
912,1,07-May-21
913,1,07-May-21
914,1,07-May-21
915,1,07-May-21
916,1,06-May-21
917,1,06-May-21
918,1,05-May-21
918,4,05-Nov-19
919,1,05-May-21
920,1,05-May-21
921,1,04-May-21
922,1,04-May-21
922,2,03-Oct-21
923,1,04-May-21
923,4,04-May-19
924,1,04-May-21
925,1,01-May-21
926,1,01-May-21
927,1,01-May-21
928,1,01-May-21
929,1,01-May-21
930,1,01-May-21
931,1,01-May-21
932,1,01-May-21
933,1,01-May-21
934,1,01-May-21
935,1,01-May-21
936,1,01-May-21
937,1,01-May-21
938,1,01-May-21
939,1,01-May-21
940,1,01-May-21
941,1,01-May-21
942,1,01-May-21
943,1,01-May-21
944,1,01-May-21
945,1,01-May-21
946,1,01-May-21
947,1,01-May-21
947,2,January 0, 1900
948,1,01-May-21
949,1,01-May-21
950,1,01-May-21
951,1,01-May-21
952,1,01-May-21
953,1,01-May-21
954,1,01-May-21
955,1,01-May-21
956,1,01-May-21
957,1,01-May-21
958,1,30-Apr-21
959,1,30-Apr-21
959,2,January 0, 1900
960,1,30-Apr-21
961,1,30-Apr-21
962,1,30-Apr-21
963,1,30-Apr-21
964,1,30-Apr-21
965,1,29-Apr-21
966,1,29-Apr-21
967,1,28-Apr-21
968,1,28-Apr-21
969,1,28-Apr-21
970,1,27-Apr-21
971,1,27-Apr-21
972,1,27-Apr-21
973,1,27-Apr-21
974,1,27-Apr-21
974,2,January 0, 1900
975,1,24-Apr-21
976,1,24-Apr-21
977,1,23-Apr-21
978,1,23-Apr-21
979,1,23-Apr-21
980,1,23-Apr-21
981,1,23-Apr-21
982,1,23-Apr-21
983,1,23-Apr-21
984,1,23-Apr-21
985,1,23-Apr-21
986,1,23-Apr-21
987,1,23-Apr-21
988,1,23-Apr-21
989,1,23-Apr-21
990,1,23-Apr-21
991,1,23-Apr-21
992,1,23-Apr-21
993,1,23-Apr-21
994,1,23-Apr-21
995,1,23-Apr-21
996,1,23-Apr-21
997,1,22-Apr-21
998,1,22-Apr-21
999,1,22-Apr-21
1000,1,22-Apr-21
1001,1,22-Apr-21
1002,1,21-Apr-21
1003,1,21-Apr-21
1004,1,21-Apr-21
1005,1,20-Apr-21
1006,1,20-Apr-21
1007,1,20-Apr-21
1008,1,20-Apr-21
1009,1,20-Apr-21
1010,1,20-Apr-21
1011,1,20-Apr-21
1012,1,19-Apr-21
1013,1,19-Apr-21
1014,1,19-Apr-21
1015,1,19-Apr-21
1015,3,20-Oct-21
1016,1,17-Apr-21
1016,2,January 0, 1900
1017,1,17-Apr-21
1018,1,17-Apr-21
1019,1,17-Apr-21
1020,1,17-Apr-21
1021,1,17-Apr-21
1022,1,17-Apr-21
1023,1,17-Apr-21
1024,1,16-Apr-21
1025,1,16-Apr-21
1026,1,16-Apr-21
1027,1,16-Apr-21
1028,1,16-Apr-21
1029,1,16-Apr-21
1030,1,16-Apr-21
1031,1,16-Apr-21
1032,1,16-Apr-21
1033,1,16-Apr-21
1034,1,16-Apr-21
1035,1,16-Apr-21
1036,1,16-Apr-21
1037,1,16-Apr-21
1038,1,16-Apr-21
1039,1,15-Apr-21
1040,1,15-Apr-21
1041,1,15-Apr-21
1041,4,31-Jan-20
1042,1,15-Apr-21
1043,1,15-Apr-21
1044,1,15-Apr-21
1045,1,15-Apr-21
1046,1,15-Apr-21
1047,1,15-Apr-21
1048,1,15-Apr-21
1049,1,15-Apr-21
1050,1,15-Apr-21
1051,1,15-Apr-21
1052,1,15-Apr-21
1052,2,January 0, 1900
1052,4,29-Jun-13
1053,1,15-Apr-21
1054,1,15-Apr-21
1055,1,15-Apr-21
1056,1,15-Apr-21
1057,1,14-Apr-21
1058,1,14-Apr-21
1059,1,14-Apr-21
1060,1,14-Apr-21
1061,1,14-Apr-21
1062,1,14-Apr-21
1063,1,14-Apr-21
1064,1,14-Apr-21
1065,1,14-Apr-21
1066,1,14-Apr-21
1067,1,14-Apr-21
1068,1,14-Apr-21
1069,1,14-Apr-21
1070,1,14-Apr-21
1071,1,14-Apr-21
1072,1,13-Apr-21
1073,1,13-Apr-21
1074,1,13-Apr-21
1075,1,13-Apr-21
1076,1,13-Apr-21
1077,1,13-Apr-21
1078,1,13-Apr-21
1079,1,13-Apr-21
1080,1,13-Apr-21
1081,1,12-Apr-21
