MediaId,CountryID
1026,0
1027,1
1028,16
1028,1
1028,10
1029,0
1030,1
1031,55
1032,7
1033,21
1034,6
1034,7
1034,1
1035,1
1036,9
1036,6
1036,1
1037,1
1038,3
1039,0
1040,1
1041,17
1042,17
1043,1
1044,1
1045,17
1046,1
1047,1
1048,53
1049,1
1049,13
1050,15
1050,6
1051,17
1052,17
1053,1
1054,1
1055,0
1056,1
1057,0
1058,1
1059,23
1059,6
1060,1
1061,1
1061,3
1062,1
1063,21
1064,1
1065,21
1066,16
1067,15
1067,38
1068,43
1069,1
1070,3
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1076,32
1076,17
1076,19
1076,3
1077,0
1078,0
1079,0
1080,37
1080,1
1081,15
1082,1
1083,0
1084,1
1085,15
1086,21
1087,18
1088,3
1089,1
1090,1
1091,44
1092,17
1093,0
1094,3
1095,0
1096,0
1097,0
1098,1
1098,15
1098,6
1099,3
1100,62
1101,1
1102,1
1102,16
1103,1
1104,15
1105,1
1105,16
1106,6
1106,1
1107,1
1108,18
1109,3
1110,48
1111,13
1112,1
1112,6
1112,13
1113,1
#N/A,1
1115,3
1116,3
1117,0
1118,53
1118,63
1118,46
1118,59
1119,1
1119,16
1120,1
1120,16
1121,17
1121,1
1122,1
1123,3
1124,64
1124,7
1125,1
1126,6
1127,1
1128,1
1129,1
1130,6
1131,0
1132,17
1133,0
1134,1
1135,1
1135,17
1136,1
1137,44
1138,45
1138,42
1139,6
1139,13
1139,41
1139,7
1139,1
1140,1
1141,1
1142,3
1143,1
1144,1
1145,1
1145,6
1146,29
1146,36
1146,6
1146,13
1146,1
1147,1
1147,10
1148,6
1149,21
1150,17
1151,1
1152,15
1152,6
1153,1
1154,6
1154,2
1154,13
1155,1
1156,18
1157,1
1158,1
1159,1
1160,0
1161,29
1161,6
1161,13
1161,7
1162,6
1163,11
1164,19
1165,19
1166,3
1167,6
1168,23
1169,1
1170,17
1171,28
1171,1
1172,1
1173,2
1174,21
1175,21
1176,6
1176,1
1176,13
1177,17
1178,38
1179,1
1180,1
1180,17
1181,0
1182,1
1183,6
1184,0
1185,15
1186,18
1187,17
1188,1
1189,32
1190,1
1191,6
1191,1
1192,1
1193,6
1193,0
1194,0
1195,18
1196,1
1197,20
1198,6
1198,1
1199,7
1200,1
1201,1
1202,45
1203,3
1204,1
1204,3
1204,6
1205,1
1206,1
1206,6
1207,6
1208,0
1209,11
1210,65
1211,21
1212,11
1213,11
1214,1
1215,0
1216,11
1217,11
1218,6
1219,1
1220,11
1221,19
1221,25
1222,44
1223,1
1224,13
1225,0
1226,0
1227,7
1228,3
1229,3
1229,6
1229,13
1229,59
1230,45
1231,3
1232,1
1233,35
1234,18
1235,19
1236,0
1237,13
1238,44
1239,1
1239,12
1240,1
1241,1
1242,1
1243,1
1244,1
1245,3
1246,1
1247,0
1248,0
1249,1
1250,0
1251,0
1252,1
1252,6
